Node_index,Segment_index,Segment_PDF
0,-11,0.002105938011172397
0,-10,0.003973053352340338
0,-9,0.005688619149261408
0,-8,0.007113753452872311
0,-7,0.009375632630631686
0,-6,0.013978894355470551
0,-5,0.020390520266567125
0,-4,0.025280201462587294
0,-3,0.02621630964902268
0,-2,0.02412376818796495
0,-1,0.020424526942708066
0,0,0.015480276364043765
0,1,0.010137083954920682
0,2,0.005761923270516717
0,3,0.003195691670477005
0,4,0.0021824432755478736
0,5,0.004571364003895146
1,-5,0.0006206026410964172
1,-4,0.004560871491734145
1,-3,0.013920443175795157
1,-2,0.035191396842201815
1,-1,0.05451135082485008
1,0,0.04046518558040366
1,1,0.017934457738739796
1,2,0.01514847733588053
1,3,0.012747974185857025
1,4,0.004899240183441357
2,-6,0.002730474112848268
2,-5,0.00818338504739664
2,-4,0.01644205617368564
2,-3,0.024282070261666844
2,-2,0.02746471911477808
2,-1,0.028083367825575228
2,0,0.028849343217358974
2,1,0.025115119309295553
2,2,0.017617838211947272
2,3,0.010643057405111223
2,4,0.005020436136910389
2,5,0.001754732832814711
2,6,0.003813400350611163
3,-7,0.002766251870267995
3,-6,0.004264870189002916
3,-5,0.006527092285300755
3,-4,0.01014727580942883
3,-3,0.014825549925104941
3,-2,0.01907551484502621
3,-1,0.021227165041102312
3,0,0.020735743364862023
3,1,0.018584961180522185
3,2,0.016276577821307196
3,3,0.014555816878077171
3,4,0.013125686236925598
3,5,0.011291841138419665
3,6,0.008827436588064534
3,7,0.006260704993466028
3,8,0.004138190808456626
3,9,0.002535600145339615
3,10,0.004833720879325376
4,-8,0.0024237313567009185
4,-7,0.005965994724650625
4,-6,0.009710619948930521
4,-5,0.014706103343532126
4,-4,0.023182074930185842
4,-3,0.030236880428018566
4,-2,0.030660497232548867
4,-1,0.027386794978237882
4,0,0.023591695131831715
4,1,0.01816570315001071
4,2,0.009902527906859271
4,3,0.004067376868492965
5,-7,0.0028397213267327415
5,-6,0.004316334742348751
5,-5,0.006208156377628837
5,-4,0.008993655603998337
5,-3,0.013076349610274568
5,-2,0.01796443359949829
5,-1,0.02198715524046359
5,0,0.023213992218007764
5,1,0.02125802085651322
5,2,0.017411294266734528
5,3,0.013519098907051963
5,4,0.010440705755109827
5,5,0.007992907761466486
5,6,0.005978496538769934
5,7,0.004551599956770322
5,8,0.0038157879520977407
5,9,0.003473370445508256
5,10,0.003092005863494099
5,11,0.002453202936789001
5,12,0.0017056306482695794
5,13,0.005708079392472153
6,-7,0.0014644064091007551
6,-6,0.002107577782974609
6,-5,0.004293179102870585
6,-4,0.007960623261134512
6,-3,0.011741073150450415
6,-2,0.01500159986788383
6,-1,0.01875109877867024
6,0,0.023047451486453232
6,1,0.025698022646639264
6,2,0.02499424808374979
6,3,0.021210671833178874
6,4,0.015683995276127106
6,5,0.01019048250072331
6,6,0.0061692093608192635
6,7,0.0037885051945999552
6,8,0.002216553806353639
6,9,0.00568130145827065
7,-4,0.0008504591977465814
7,-3,0.004790035160102341
7,-2,0.014384181829131534
7,-1,0.0254528549255952
7,0,0.030261522150084964
7,1,0.03138623385893313
7,2,0.02951847328702576
7,3,0.025533849307437174
7,4,0.019821553867570646
7,5,0.010225440056515286
7,6,0.003717536020075897
7,7,0.00405786033978147
8,-5,0.0011624902325185868
8,-4,0.005338206301037837
8,-3,0.014139883796691954
8,-2,0.02464894684167219
8,-1,0.033162521105810895
8,0,0.034578465715332074
8,1,0.026384182250645028
8,2,0.018245307600097037
8,3,0.014278771550601557
8,4,0.010634244393238495
8,5,0.006971240906854923
8,6,0.004388961784251165
8,7,0.0030269067930592374
8,8,0.0030398707281890204
9,-4,0.0010043767126358771
9,-3,0.005651899859773986
9,-2,0.01581733093704432
9,-1,0.028900383318516954
9,0,0.03668713082982743
9,1,0.03398605271345877
9,2,0.02395991269629221
9,3,0.015354546677224846
9,4,0.010933185113734254
9,5,0.007612437617195056
9,6,0.005082671173883625
9,7,0.004155402056492431
9,8,0.003675745471435926
9,9,0.002701568051397019
9,10,0.004477356771087343
10,-4,0.004153096674510487
10,-3,0.01453752728557357
10,-2,0.030550318041080736
10,-1,0.04457055023683808
10,0,0.04421652406753107
10,1,0.033489988909679726
10,2,0.01838698508102622
10,3,0.0067028267234101446
10,4,0.003392182980349991
11,-11,0.0014529295962860435
11,-10,0.0020877029556340618
11,-9,0.003145132147860303
11,-8,0.004748128955157607
11,-7,0.00682859993075158
11,-6,0.009126143973288472
11,-5,0.011261125274275226
11,-4,0.012926497800074477
11,-3,0.01394015409481777
11,-2,0.01434546290344344
11,-1,0.014295124937210172
11,0,0.01400353303731341
11,1,0.013592361333390087
11,2,0.013143825241273943
11,3,0.012592741633734894
11,4,0.011761015762020901
11,5,0.01039393813842041
11,6,0.008451299560792993
11,7,0.006176143746537401
11,8,0.003988322032810329
11,9,0.0022572685369792226
11,10,0.0011182535083260037
11,11,0.000511161746185098
11,12,0.00028259279470895036
11,13,0.0002912017260547822
11,14,0.00043323491957248376
11,15,0.006846103713079926
12,-12,0.00034213590377554114
12,-11,0.0007973583949066486
12,-10,0.0018479012633562052
12,-9,0.003793265885244832
12,-8,0.006959976026999358
