Node_index,Segment_index,Segment_PDF
0,-5,0.000777997
0,-4,0.005196005
0,-3,0.016368108
0,-2,0.035662648
0,-1,0.04920398
0,0,0.037094853
0,1,0.019999945
0,2,0.016410238
0,3,0.012729064
0,4,0.005265707
0,5,0.001291455
1,-6,0.00323953
1,-5,0.00749627
1,-4,0.01354824
1,-3,0.020027925
1,-2,0.023958881
1,-1,0.02559777
1,0,0.027059146
1,1,0.025855445
1,2,0.020957219
1,3,0.014469869
1,4,0.007959543
1,5,0.003510126
1,6,0.0020562
1,7,0.004263836
2,-8,0.003115459
2,-7,0.004873267
2,-6,0.006951709
2,-5,0.00941953
2,-4,0.012283509
2,-3,0.015114974
2,-2,0.017043964
2,-1,0.017340433
2,0,0.016183229
2,1,0.014568188
2,2,0.01349512
2,3,0.013141247
2,4,0.012869054
2,5,0.011932315
2,6,0.010095399
2,7,0.007659099
2,8,0.005167285
2,9,0.003062435
2,10,0.005683784
3,-6,0.004024817
3,-5,0.01138634
3,-4,0.022975473
3,-3,0.03368063
3,-2,0.035624967
3,-1,0.031052307
3,0,0.026740883
3,1,0.020543793
3,2,0.010262799
3,3,0.003707991
4,-8,0.001735517
4,-7,0.0030174
4,-6,0.004585411
4,-5,0.006559319
4,-4,0.009248282
4,-3,0.01296124
4,-2,0.017521955
4,-1,0.021587451
4,0,0.023045248
4,1,0.021002291
4,2,0.016827973
4,3,0.012721596
4,4,0.009829241
4,5,0.007929243
4,6,0.006518978
4,7,0.005507758
4,8,0.004899166
4,9,0.004419164
4,10,0.003689502
4,11,0.002618576
4,12,0.003774691
5,-7,0.001807046
5,-6,0.002427842
5,-5,0.004339612
5,-4,0.007534357
5,-3,0.011182593
5,-2,0.014970451
5,-1,0.019140383
5,0,0.023215088
5,1,0.025585583
5,2,0.024738651
5,3,0.020649374
5,4,0.014966719
5,5,0.009780905
5,6,0.00611414
5,7,0.003809087
5,8,0.002266183
5,9,0.007471985
6,-12,0.001940417
6,-11,0.002749582
6,-10,0.003848235
6,-9,0.005261327
6,-8,0.006936042
6,-7,0.008690679
6,-6,0.010289334
6,-5,0.011506735
6,-4,0.012254672
6,-3,0.01253838
6,-2,0.0124935
6,-1,0.012264089
6,0,0.011978954
6,1,0.01164232
6,2,0.011222208
6,3,0.010634033
6,4,0.009818682
6,5,0.008711422
6,6,0.007343134
6,7,0.005816964
6,8,0.004291636
6,9,0.002944477
6,10,0.00189246
6,11,0.001190904
6,12,0.000819354
6,13,0.000708813
6,14,0.000762035
6,15,0.00087914
6,16,0.000971972
6,17,0.000984631
6,18,0.000898045
6,19,0.005715823
7,-21,0.000753238
7,-20,0.000526533
7,-19,0.000325478
7,-18,0.000180713
7,-17,0.000101403
7,-16,8.73E-05
7,-15,0.000151185
7,-14,0.000334061
7,-13,0.000718129
7,-12,0.00142382
7,-11,0.002605412
7,-10,0.004400143
7,-9,0.006896091
7,-8,0.010002622
7,-7,0.013458365
7,-6,0.016722903
7,-5,0.019234534
7,-4,0.020419676
7,-3,0.020097055
7,-2,0.01831328
7,-1,0.015520603
7,0,0.012195111
7,1,0.008887531
7,2,0.005982433
7,3,0.003694023
7,4,0.002096479
7,5,0.001109287
7,6,0.000601907
7,7,0.000428859
7,8,0.000474031
7,9,0.000641049
7,10,0.000845693
7,11,0.00100388
7,12,0.001055822
7,13,0.008711339
8,-10,0.002723603
8,-9,0.004690371
8,-8,0.006955077
8,-7,0.009190132
8,-6,0.011207381
8,-5,0.013035053
8,-4,0.014753179
8,-3,0.016326153
8,-2,0.01756016
8,-1,0.018081457
8,0,0.017587845
8,1,0.015937794
8,2,0.013255846
8,3,0.009917938
8,4,0.006610166
8,5,0.004110541
8,6,0.002779693
8,7,0.002398802
8,8,0.002436233
8,9,0.002441783
8,10,0.002192332
8,11,0.00580846
9,-9,0.002301712
9,-8,0.004859455
9,-7,0.008374015
9,-6,0.011639717
9,-5,0.01492736
9,-4,0.019054638
9,-3,0.023675761
9,-2,0.026452268
9,-1,0.024997292
9,0,0.020450627
9,1,0.016239875
9,2,0.012452541
9,3,0.007664745
9,4,0.003541448
9,5,0.003368546
10,-8,0.003221658
10,-7,0.006136205
10,-6,0.010095171
10,-5,0.015077605
10,-4,0.022438012
10,-3,0.031993391
10,-2,0.03604653
10,-1,0.028459874
10,0,0.015635471
10,1,0.00737938
10,2,0.005117116
10,3,0.004697618
10,4,0.003887385
10,5,0.003081789
10,6,0.002415618
10,7,0.004317178
11,-10,0.003080106
11,-9,0.005762858
11,-8,0.009176343
11,-7,0.012649636
11,-6,0.015502088
11,-5,0.017230216
11,-4,0.017645229
11,-3,0.016963046
11,-2,0.015854227
11,-1,0.014716991
11,0,0.01347514
11,1,0.01202456
11,2,0.010654737
11,3,0.009515224
11,4,0.008290738
11,5,0.006586969
11,6,0.004480595
11,7,0.002514273
11,8,0.003877023
