0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
0,0.0,0,0,0,50.0,0.0,0,0,0.0,0.0,530.0,0.0,0
0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
0,475.0,0,0,0,0.0,0.0,0,0,90.0,0.0,0.0,0.0,0
0,0.0,0,0,0,0.0,10.0,0,0,0.0,0.0,0.0,0.0,0
0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
0,575.0,0,0,0,0.0,0.0,0,0,190.0,0.0,0.0,0.0,0
0,0.0,0,0,0,0.0,0.0,0,0,0.0,190.0,0.0,0.0,0
0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,70.0,0.0,0
0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,30.0,0
0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
