Node_index,Segment_index,Segment_PDF
0,-10,0.0021189200804425296
0,-9,0.0038907142682957094
0,-8,0.0071083124842198295
0,-7,0.012639242695030629
0,-6,0.019346550896574485
0,-5,0.024536145015738704
0,-4,0.025993688264041904
0,-3,0.02446398200984822
0,-2,0.02228421197196025
0,-1,0.019115976221780677
0,0,0.014157031854370016
0,1,0.008840844514408927
0,2,0.004886171659339852
0,3,0.0027402822095863714
0,4,0.0017918344773914636
0,5,0.0012529793016180706
0,6,0.004833112075352375
1,-4,0.0029432131441882625
1,-3,0.012623902459565373
1,-2,0.036134234667803286
1,-1,0.053902314227828894
1,0,0.040596404171842876
1,1,0.020246316930069404
1,2,0.01585614588106003
1,3,0.012108302454877814
1,4,0.004425187569320083
1,5,0.0011639784934439833
2,-6,0.0016442218872933334
2,-5,0.006329829162473566
2,-4,0.013600556543997899
2,-3,0.020991030309906206
2,-2,0.027000889298944904
2,-1,0.0328806881612155
2,0,0.034023899553020084
2,1,0.02594705757241328
2,2,0.01684679049991164
2,3,0.010482762658050985
2,4,0.0056508815853474476
2,5,0.004601392767425152
3,-6,0.001228375375413468
3,-5,0.007596960091933435
3,-4,0.010174106658579771
3,-3,0.012834690569726633
3,-2,0.015243009338102234
3,-1,0.017069680227146326
3,0,0.017969396449470328
3,1,0.01784987642522637
3,2,0.016721859474751126
3,3,0.014798210492498364
3,4,0.012342772340432554
3,5,0.009754645371653494
3,6,0.007330394092779954
3,7,0.005262109434538242
3,8,0.003678984165895822
3,9,0.0025745924147483265
3,10,0.001881406827256904
3,11,0.0014858703137100976
3,12,0.0012790296513626336
3,13,0.001159035156677753
3,14,0.0010569714390487245
3,15,0.000932706741749156
3,16,0.0007822402538529797
3,17,0.0006158665175854198
3,18,0.00045309583697138324
3,19,0.0003096593169656136
3,20,0.0001970531328177181
3,21,0.00011653296909278055
3,22,6.407531241921528e-05
3,23,3.264904671074967e-05
3,24,1.547507926343516e-05
3,25,6.812537708464379e-06
3,26,2.7872667722687065e-06
3,27,1.0565553280105268e-06
3,28,3.72760481413847e-07
3,29,1.2292011187244857e-07
3,30,4.03385867793158e-08
3,31,2.2433472043031065e-08
3,32,4.3289673101934874e-08
3,33,1.2842560092215277e-07
3,34,3.7291248388228633e-07
3,35,1.0102822201184887e-06
3,36,2.5416645891272887e-06
3,37,5.945649653532416e-06
3,38,1.2880254528083948e-05
3,39,2.5921142175549306e-05
3,40,4.8425988697614215e-05
3,41,8.410337644788601e-05
3,42,0.00013527789702340803
3,43,0.00020216424432262865
3,44,0.00028046556521081774
3,45,0.00036164902017364863
3,46,0.0004319099314095005
3,47,0.0004793227578206775
3,48,0.0004943567409014384
3,49,0.0004722318354929762
3,50,0.00017539537541327223
3,51,0.013963308315319844
4,-11,0.0006044433203855174
4,-10,0.0013557082249646198
4,-9,0.002592570204690828
4,-8,0.004423441526525873
4,-7,0.007060018841608863
4,-6,0.010838497181402378
4,-5,0.015938883014110908
4,-4,0.02164352248883963
4,-3,0.026122802428244996
4,-2,0.027366165581005776
4,-1,0.024854179096829937
4,0,0.01969803250621856
4,1,0.013742573637747765
4,2,0.008506444487155807
4,3,0.00481244405137374
4,4,0.0026368085935623677
4,5,0.007803464815332412
5,-10,0.0015641234732577725
5,-9,0.0024526997062596983
5,-8,0.0039132312425702465
5,-7,0.00605125005969343
5,-6,0.008762627336007571
5,-5,0.011634300784693864
5,-4,0.01410951839705113
5,-3,0.01571983683042843
5,-2,0.01639452768935521
5,-1,0.016318452075119737
5,0,0.01572895984364428
5,1,0.014694729132166495
5,2,0.0133315521612536
5,3,0.011795579980836565
5,4,0.010229037460316033
5,5,0.008592445304086213
5,6,0.006844160977431643
5,7,0.005054504528491853
5,8,0.0034380331675521207
5,9,0.0021700815943551215
5,10,0.001300345724454695
5,11,0.0007554631623211811
5,12,0.00044549004012457157
5,13,0.0003162080532623184
5,14,0.0003396508723544515
5,15,0.00047404652389937597
5,16,0.0006527372432745879
5,17,0.006916406635737847
6,-15,0.000520955554601604
6,-14,0.0004419588458570113
6,-13,0.0004955907470662621
6,-12,0.0007235581839828768
6,-11,0.0011227705178614594
6,-10,0.001808916989847524
6,-9,0.0031628091719404436
6,-8,0.0057045434336182674
6,-7,0.00972530889674408
6,-6,0.014750944482893148
6,-5,0.019628803871724443
6,-4,0.023020900415086087
6,-3,0.024303380294986895
6,-2,0.02331885850756408
6,-1,0.020326643606455363
6,0,0.015789949225626838
6,1,0.010810203555766285
6,2,0.006553798578159234
6,3,0.003657810051140427
6,4,0.0020737322365480962
6,5,0.0013448204690873966
6,6,0.0010337776899296603
6,7,0.0008513277224655332
6,8,0.00882863695104692
7,-9,0.002305233135176656
7,-8,0.004566902804497078
7,-7,0.007532006228563229
7,-6,0.010783178396806837
7,-5,0.014070207720271113
7,-4,0.01736235911544638
7,-3,0.020252517294659975
7,-2,0.02140409668359699
7,-1,0.020339166051361584
7,0,0.018464090827190235
7,1,0.016436557903805087
7,2,0.013772152729363224
7,3,0.01024288931654917
7,4,0.006477015196277409
7,5,0.0037715787841172085
7,6,0.0026861797840600993
7,7,0.002373632198264078
7,8,0.0019713873313260783
7,9,0.005188848498667567
8,-9,0.001235053571068979
8,-8,0.003442592975502391
8,-7,0.007620370051319813
8,-6,0.01331348479476514
8,-5,0.019615900864417293
8,-4,0.02359881251927368
8,-3,0.025215590989197366
8,-2,0.0252166784088797
8,-1,0.02331526288973043
8,0,0.020123503516181977
8,1,0.015703077628154267
8,2,0.010425449211854763
8,3,0.005034524059750611
8,4,0.0020933701198984347
8,5,0.004046328400005191
9,-6,0.0016166162172936555
9,-5,0.005107979278879715
9,-4,0.011733633070491252
9,-3,0.020329857350289603
9,-2,0.02832797487014156
9,-1,0.03174483194804554
9,0,0.02933333270680206
9,1,0.025163603733205496
9,2,0.01880813981060942
9,3,0.010854372732429656
9,4,0.0052016738553396415
9,5,0.0023992612810769705
9,6,0.002051512375148998
9,7,0.0021779787318493204
9,8,0.005149232038397117
10,-7,0.0027831605016451063
10,-6,0.004769232860200612
10,-5,0.007294341977898103
10,-4,0.01160161198484556
10,-3,0.01777079590932328
10,-2,0.02299450285429682
10,-1,0.02441046890484258
10,0,0.02227979272529399
10,1,0.01916147849467211
10,2,0.01642726954493484
10,3,0.013912046134267119
10,4,0.011537355341697128
10,5,0.008962571418778407
10,6,0.0060844064444071306
10,7,0.0037094685926150625
10,8,0.006301496310282146
11,-8,0.002049908014490065
11,-7,0.006558008538639459
11,-6,0.012117877492760479
11,-5,0.01687490233540376
11,-4,0.02210533196135026
11,-3,0.02654541778747565
11,-2,0.02871905812877007
11,-1,0.02921210618353167
11,0,0.024821074223586332
11,1,0.017010158764289168
11,2,0.00926471290789467
11,3,0.004721443661808414
12,-7,0.002424237706349696
12,-6,0.004566772444235914
12,-5,0.007566555255752455
12,-4,0.010954462798029429
12,-3,0.014584952790774208
12,-2,0.0189992508972499
12,-1,0.023489796517200744
12,0,0.025447076636683125
12,1,0.023218590580040218
12,2,0.017981001045981503
12,3,0.012690391439251228
12,4,0.008981462750233121
12,5,0.006451673199339818
12,6,0.00453456135294626
12,7,0.003319309847581383
12,8,0.002785929198460816
12,9,0.0025753968981622665
12,10,0.002368123994247551
12,11,0.0019678880643820445
12,12,0.005092566583098302
13,-7,0.0015093418215913908
13,-6,0.0018739424634246194
13,-5,0.0035540715492080066
13,-4,0.0064529769861678184
13,-3,0.009822604809130654
13,-2,0.013620295073884556
13,-1,0.018357026995417046
13,0,0.023058981675480074
13,1,0.025559478327000153
13,2,0.02516708160356774
13,3,0.022116919501941557
13,4,0.017204221669391166
13,5,0.011564669050819768
13,6,0.0068372828480801106
13,7,0.003986946885240485
13,8,0.002366518225165905
13,9,0.00694764051448896
14,-3,0.0038722968623028666
14,-2,0.013735959098511472
14,-1,0.027576637734118975
14,0,0.03388728912507814
14,1,0.03305561124785783
14,2,0.03004796240401113
14,3,0.025690265841429506
14,4,0.017410405628322932
14,5,0.006907916401012656
14,6,0.0027867836919360247
14,7,0.0050288719654184785
15,-5,0.00203767361255553
15,-4,0.005641041321456682
15,-3,0.013757755739177835
15,-2,0.023789952395460157
15,-1,0.03195380231144824
15,0,0.03386336785293399
