Node_index,Segment_index,Segment_PDF
0,-10,0.0021189200804425296
0,-9,0.0038907142682957094
0,-8,0.0071083124842198295
0,-7,0.012639242695030629
0,-6,0.019346550896574485
0,-5,0.024536145015738704
0,-4,0.025993688264041904
0,-3,0.02446398200984822
0,-2,0.02228421197196025
0,-1,0.019115976221780677
0,0,0.014157031854370016
0,1,0.008840844514408927
0,2,0.004886171659339852
0,3,0.0027402822095863714
0,4,0.0017918344773914636
0,5,0.0012529793016180706
0,6,0.004833112075352375
1,-4,0.0029432131441882625
1,-3,0.012623902459565373
1,-2,0.036134234667803286
1,-1,0.053902314227828894
1,0,0.040596404171842876
1,1,0.020246316930069404
1,2,0.01585614588106003
1,3,0.012108302454877814
1,4,0.004425187569320083
1,5,0.0011639784934439833
2,-6,0.0016442218872933334
2,-5,0.006329829162473566
2,-4,0.013600556543997899
2,-3,0.020991030309906206
2,-2,0.027000889298944904
2,-1,0.0328806881612155
2,0,0.034023899553020084
2,1,0.02594705757241328
2,2,0.01684679049991164
2,3,0.010482762658050985
2,4,0.0056508815853474476
2,5,0.004601392767425152
3,-6,0.001228375375413468
3,-5,0.007596960091933435
3,-4,0.010174106658579771
3,-3,0.012834690569726633
3,-2,0.015243009338102234
3,-1,0.017069680227146326
3,0,0.017969396449470328
3,1,0.01784987642522637
3,2,0.016721859474751126
3,3,0.014798210492498364
3,4,0.012342772340432554
3,5,0.009754645371653494
3,6,0.007330394092779954
3,7,0.005262109434538242
3,8,0.003678984165895822
3,9,0.0025745924147483265
3,10,0.001881406827256904
3,11,0.0014858703137100976
3,12,0.0012790296513626336
3,13,0.001159035156677753
3,14,0.0010569714390487245
3,15,0.000932706741749156
3,16,0.0007822402538529797
3,17,0.0006158665175854198
3,18,0.00045309583697138324
3,19,0.0003096593169656136
3,20,0.0001970531328177181
3,21,0.00011653296909278055
3,22,6.407531241921528e-05
3,23,3.264904671074967e-05
3,24,1.547507926343516e-05
3,25,6.812537708464379e-06
3,26,2.7872667722687065e-06
3,27,1.0565553280105268e-06
3,28,3.72760481413847e-07
3,29,1.2292011187244857e-07
3,30,4.03385867793158e-08
3,31,2.2433472043031065e-08
3,32,4.3289673101934874e-08
3,33,1.2842560092215277e-07
3,34,3.7291248388228633e-07
3,35,1.0102822201184887e-06
3,36,2.5416645891272887e-06
3,37,5.945649653532416e-06
3,38,1.2880254528083948e-05
3,39,2.5921142175549306e-05
3,40,4.8425988697614215e-05
3,41,8.410337644788601e-05
3,42,0.00013527789702340803
3,43,0.00020216424432262865
3,44,0.00028046556521081774
3,45,0.00036164902017364863
3,46,0.0004319099314095005
3,47,0.0004793227578206775
3,48,0.0004943567409014384
3,49,0.0004722318354929762
3,50,0.00017539537541327223
3,51,0.013963308315319844
4,-11,0.0006044433203855174
4,-10,0.0013557082249646198
4,-9,0.002592570204690828
4,-8,0.004423441526525873
4,-7,0.007060018841608863
4,-6,0.010838497181402378
4,-5,0.015938883014110908
4,-4,0.02164352248883963
4,-3,0.026122802428244996
4,-2,0.027366165581005776
4,-1,0.024854179096829937
4,0,0.01969803250621856
4,1,0.013742573637747765
4,2,0.008506444487155807
4,3,0.00481244405137374
4,4,0.0026368085935623677
4,5,0.007803464815332412
5,-10,0.0015641234732577725
5,-9,0.0024526997062596983
5,-8,0.0039132312425702465
5,-7,0.00605125005969343
5,-6,0.008762627336007571
5,-5,0.011634300784693864
5,-4,0.01410951839705113
5,-3,0.01571983683042843
5,-2,0.01639452768935521
5,-1,0.016318452075119737
5,0,0.01572895984364428
5,1,0.014694729132166495
5,2,0.0133315521612536
5,3,0.011795579980836565
5,4,0.010229037460316033
5,5,0.008592445304086213
5,6,0.006844160977431643
5,7,0.005054504528491853
5,8,0.0034380331675521207
5,9,0.0021700815943551215
5,10,0.001300345724454695
5,11,0.0007554631623211811
5,12,0.00044549004012457157
5,13,0.0003162080532623184
5,14,0.0003396508723544515
5,15,0.00047404652389937597
5,16,0.0006527372432745879
5,17,0.006916406635737847
6,-15,0.000520955554601604
6,-14,0.0004419588458570113
6,-13,0.0004955907470662621
6,-12,0.0007235581839828768
6,-11,0.0011227705178614594
6,-10,0.001808916989847524
6,-9,0.0031628091719404436
6,-8,0.0057045434336182674
6,-7,0.00972530889674408
6,-6,0.014750944482893148
6,-5,0.019628803871724443
6,-4,0.023020900415086087
6,-3,0.024303380294986895
6,-2,0.02331885850756408
6,-1,0.020326643606455363
6,0,0.015789949225626838
6,1,0.010810203555766285
6,2,0.006553798578159234
6,3,0.003657810051140427
6,4,0.0020737322365480962
6,5,0.0013448204690873966
6,6,0.0010337776899296603
6,7,0.0008513277224655332
6,8,0.00882863695104692
7,-9,0.002305233135176656
7,-8,0.004566902804497078
7,-7,0.007532006228563229
7,-6,0.010783178396806837
7,-5,0.014070207720271113
7,-4,0.01736235911544638
7,-3,0.020252517294659975
7,-2,0.02140409668359699
7,-1,0.020339166051361584
7,0,0.018464090827190235
7,1,0.016436557903805087
7,2,0.013772152729363224
7,3,0.01024288931654917
7,4,0.006477015196277409
7,5,0.0037715787841172085
7,6,0.0026861797840600993
7,7,0.002373632198264078
7,8,0.0019713873313260783
7,9,0.005188848498667567
8,-7,0.0027831605016451063
8,-6,0.004769232860200612
8,-5,0.007294341977898103
8,-4,0.01160161198484556
8,-3,0.01777079590932328
8,-2,0.02299450285429682
8,-1,0.02441046890484258
8,0,0.02227979272529399
8,1,0.01916147849467211
8,2,0.01642726954493484
8,3,0.013912046134267119
8,4,0.011537355341697128
8,5,0.008962571418778407
8,6,0.0060844064444071306
8,7,0.0037094685926150625
8,8,0.006301496310282146
9,-8,0.002049908014490065
9,-7,0.006558008538639459
9,-6,0.012117877492760479
9,-5,0.01687490233540376
9,-4,0.02210533196135026
9,-3,0.02654541778747565
9,-2,0.02871905812877007
9,-1,0.02921210618353167
9,0,0.024821074223586332
9,1,0.017010158764289168
9,2,0.00926471290789467
9,3,0.004721443661808414
10,-7,0.002424237706349696
10,-6,0.004566772444235914
10,-5,0.007566555255752455
10,-4,0.010954462798029429
10,-3,0.014584952790774208
10,-2,0.0189992508972499
10,-1,0.023489796517200744
10,0,0.025447076636683125
10,1,0.023218590580040218
10,2,0.017981001045981503
10,3,0.012690391439251228
10,4,0.008981462750233121
10,5,0.006451673199339818
10,6,0.00453456135294626
10,7,0.003319309847581383
10,8,0.002785929198460816
10,9,0.0025753968981622665
10,10,0.002368123994247551
10,11,0.0019678880643820445
10,12,0.005092566583098302
11,-7,0.0015093418215913908
11,-6,0.0018739424634246194
11,-5,0.0035540715492080066
11,-4,0.0064529769861678184
11,-3,0.009822604809130654
11,-2,0.013620295073884556
11,-1,0.018357026995417046
11,0,0.023058981675480074
11,1,0.025559478327000153
11,2,0.02516708160356774
11,3,0.022116919501941557
11,4,0.017204221669391166
11,5,0.011564669050819768
11,6,0.0068372828480801106
11,7,0.003986946885240485
11,8,0.002366518225165905
11,9,0.00694764051448896
12,-5,0.001928611639028193
12,-4,0.003926712457795483
12,-3,0.006771562322440666
12,-2,0.010016297319894556
12,-1,0.013399080156111298
12,0,0.016787231016568815
12,1,0.019656408099048145
12,2,0.021208632449036
12,3,0.021118334076119377
12,4,0.019616685380671583
12,5,0.01688813321016255
12,6,0.013239825578284204
12,7,0.009449075602686107
12,8,0.006352534482781533
12,9,0.0043596159911062984
12,10,0.00327536787133043
12,11,0.002545207380296839
12,12,0.0017788397502156376
12,13,0.001007871874460724
12,14,0.00044106925043990383
12,15,0.006232904091521691
13,-7,0.0012761464574627245
13,-6,0.002368863410152461
13,-5,0.005343605330087273
13,-4,0.009868651007967393
13,-3,0.015126906567187326
13,-2,0.01973637722359723
13,-1,0.021972301404211563
13,0,0.02308101159313285
13,1,0.024411370253985508
13,2,0.023136454416832968
13,3,0.017995979750452834
13,4,0.011724561792039897
13,5,0.006915279958559918
13,6,0.004237960340980781
13,7,0.003319294699985105
13,8,0.002997848287263745
13,9,0.0064873875061004435
14,-7,0.0015322604226646155
14,-6,0.003989461255505531
14,-5,0.0077112094216464
14,-4,0.012148678122946791
14,-3,0.017115236306843352
14,-2,0.023002841509697728
14,-1,0.029021718391754447
14,0,0.03093771737406764
14,1,0.02555134327739126
