Node_index,Segment_index,Segment_PDF
0,-5,0.0007779974952421727
0,-4,0.005196005171614426
0,-3,0.016368108143981503
0,-2,0.035662648180191506
0,-1,0.04920397978482068
0,0,0.03709485275803944
0,1,0.019999944828087167
0,2,0.016410237654511856
0,3,0.012729063700243065
0,4,0.00526570747029049
0,5,0.0012914548129776687
1,-6,0.00323952990452196
1,-5,0.007496269602252378
1,-4,0.013548239951253978
1,-3,0.02002792530559269
1,-2,0.02395888098509586
1,-1,0.02559776983902249
1,0,0.02705914634686497
1,1,0.025855444884097727
1,2,0.020957218577009967
1,3,0.014469869238085565
1,4,0.007959542953568977
1,5,0.0035101260009601093
1,6,0.002056200409305712
1,7,0.00426383600236761
2,-8,0.0031154585718504825
2,-7,0.004873266629782304
2,-6,0.006951708564064539
2,-5,0.009419530158271457
2,-4,0.01228350864434594
2,-3,0.015114974377928586
2,-2,0.017043963530801905
2,-1,0.01734043252641449
2,0,0.01618322949731179
2,1,0.014568187959342135
2,2,0.013495120101415908
2,3,0.01314124745797863
2,4,0.012869054159987037
2,5,0.01193231527697002
2,6,0.010095399459753074
2,7,0.007659099069477526
2,8,0.005167284619846188
2,9,0.0030624350130078865
2,10,0.005683784381450072
3,-6,0.004024817262408454
3,-5,0.011386339726253334
3,-4,0.02297547326585448
3,-3,0.03368063017584033
3,-2,0.03562496664192244
3,-1,0.031052307400306994
3,0,0.026740882629731233
3,1,0.020543793496347044
3,2,0.010262798567777585
3,3,0.003707990833558105
4,-8,0.0017355174671052575
4,-7,0.003017399548158017
4,-6,0.004585410782775995
4,-5,0.006559319098064021
4,-4,0.00924828203172481
4,-3,0.012961240320396677
4,-2,0.01752195510134407
4,-1,0.02158745083355701
4,0,0.023045247572550463
4,1,0.021002291342114315
4,2,0.016827972647575136
4,3,0.012721595543847507
4,4,0.009829240805336164
4,5,0.007929242540040788
4,6,0.00651897762703795
4,7,0.005507757693057979
4,8,0.004899165546211913
4,9,0.004419164027305173
4,10,0.0036895022921666007
4,11,0.0026185759715602205
4,12,0.003774691208069911
5,-7,0.0018070455337427724
5,-6,0.0024278422893894602
5,-5,0.0043396118897345605
5,-4,0.007534356774577991
5,-3,0.01118259318091377
5,-2,0.014970450922568938
5,-1,0.019140382883436148
5,0,0.023215088200379676
5,1,0.025585583349861895
5,2,0.024738651333161242
5,3,0.020649374123507952
5,4,0.014966719437781013
5,5,0.009780905344482338
5,6,0.006114139914425281
5,7,0.003809086634903604
5,8,0.002266182885067433
5,9,0.007471985302065932
6,-3,0.004196141755968203
6,-2,0.012319230868071013
6,-1,0.021467727566211646
6,0,0.026087138550585597
6,1,0.027897298101267103
6,2,0.028522649030040946
6,3,0.02811181974480729
6,4,0.023773741196706076
6,5,0.014152752832049526
6,6,0.006040131202559125
6,7,0.0020762733380080035
6,8,0.005355095813725465
7,-5,0.0018820246194323203
7,-4,0.0065153635961631515
7,-3,0.015054478464563602
7,-2,0.025612086031450727
7,-1,0.03386873381567488
7,0,0.03390203984645144
7,1,0.025631252290833895
7,2,0.01753048772442393
7,3,0.0127306898141886
7,4,0.00875582211343945
7,5,0.005890207935398445
7,6,0.0043655690066150225
7,7,0.003610242029783884
7,8,0.0046510027115806585
8,-4,0.001284407848576813
8,-3,0.006583749361891873
8,-2,0.017212117725279648
8,-1,0.030484406838722784
8,0,0.038331652497590206
8,1,0.035308391245650605
8,2,0.02432447006888313
8,3,0.01414837462381367
8,4,0.008606087236529263
8,5,0.0053620832282179785
8,6,0.003395887244340215
8,7,0.0030746806630595046
8,8,0.0033420077767721225
8,9,0.002949887022577778
8,10,0.002257165455636938
8,11,0.00333463116245748
9,-5,0.0004962790264988286
9,-4,0.0051002031661694066
9,-3,0.015615660088291187
9,-2,0.032376084216757826
9,-1,0.0477662240478575
9,0,0.04275638770651864
9,1,0.029621108113536493
9,2,0.015931584756932644
9,3,0.006576986425320881
9,4,0.00375948245211664
10,-12,0.0019404166498705917
10,-11,0.002749581789241792
10,-10,0.0038482352119855617
10,-9,0.005261327389927411
10,-8,0.006936041884257282
10,-7,0.008690679488919014
10,-6,0.01028933362670237
10,-5,0.011506735038806887
10,-4,0.012254672265766375
10,-3,0.012538380366699658
10,-2,0.012493499828260979
10,-1,0.01226408898257222
10,0,0.011978954289525386
10,1,0.011642320287161098
10,2,0.011222208049183969
10,3,0.01063403259856892
10,4,0.009818682200996376
10,5,0.008711422018557092
10,6,0.007343134156851372
10,7,0.0058169635172991676
10,8,0.004291635977373872
10,9,0.0029444771803203403
10,10,0.0018924595211281731
10,11,0.0011909041835024927
10,12,0.000819353655890901
10,13,0.0007088129519410276
10,14,0.0007620348743020256
10,15,0.0008791401462277658
10,16,0.0009719724681953312
10,17,0.0009846306680284795
10,18,0.0008980454648068615
10,19,0.005715823267129226
11,-21,0.0007532375801885234
11,-20,0.0005265331551020864
11,-19,0.0003254778836899837
11,-18,0.00018071332539667802
11,-17,0.00010140307598138262
11,-16,8.731170618511256e-05
11,-15,0.00015118526996177605
11,-14,0.0003340610790286845
11,-13,0.0007181286566952296
11,-12,0.0014238197742371989
11,-11,0.002605412126706485
11,-10,0.004400143285581133
11,-9,0.006896090998426645
11,-8,0.010002621550235435
11,-7,0.013458365380506395
11,-6,0.01672290290203781
11,-5,0.019234533872069057
11,-4,0.020419675993131863
11,-3,0.02009705548644542
11,-2,0.018313279599458655
11,-1,0.015520602944666794
11,0,0.012195110659174275
11,1,0.008887531454992622
11,2,0.005982433381924446
11,3,0.0036940228255541246
11,4,0.002096479458250992
11,5,0.0011092873652016873
11,6,0.0006019065672764135
11,7,0.000428859189034849
11,8,0.0004740311837900583
11,9,0.0006410486922553132
11,10,0.0008456932385903226
11,11,0.0010038797074699683
11,12,0.0010558215393832904
11,13,0.008711339091369263
12,-10,0.002723602747158201
12,-9,0.004690371135313606
12,-8,0.006955077243903518
12,-7,0.009190131543840675
12,-6,0.01120738060594527
12,-5,0.013035053268823616
12,-4,0.014753179295956353
12,-3,0.016326153179728197
12,-2,0.017560160271819763
12,-1,0.018081457190529254
12,0,0.01758784463585063
12,1,0.015937794368432047
12,2,0.013255845622138145
12,3,0.00991793824962004
12,4,0.0066101660284856745
12,5,0.004110541326364138
12,6,0.0027796928983929298
12,7,0.0023988021525018334
12,8,0.002436233260840013
12,9,0.0024417829400544245
12,10,0.0021923319055683543
12,11,0.005808460128733322
13,-9,0.0023017119355030983
13,-8,0.004859455450007949
13,-7,0.008374014591611665
13,-6,0.011639717326430658
13,-5,0.014927359536965723
13,-4,0.019054638039824857
13,-3,0.02367576126299794
13,-2,0.026452267651953975
13,-1,0.024997292426148777
13,0,0.02045062658885031
13,1,0.016239875499879382
13,2,0.012452540863044
13,3,0.007664744642070833
13,4,0.0035414479277911535
13,5,0.003368546256919667
14,-8,0.00322165778099003
14,-7,0.006136205482499013
14,-6,0.0100951705358448
14,-5,0.015077604630432959
14,-4,0.022438011703369003
14,-3,0.031993390738204924
14,-2,0.036046529516922464
14,-1,0.028459873768712358
14,0,0.01563547090752902
14,1,0.007379379941466299
14,2,0.0051171163558327145
14,3,0.004697618032238077
14,4,0.003887385062223016
14,5,0.003081788996746286
14,6,0.002415618293612589
14,7,0.004317178253376423
15,-10,0.0030801062951390165
15,-9,0.005762858340554655
15,-8,0.00917634288226477
15,-7,0.012649635828825978
15,-6,0.015502088408822412
15,-5,0.017230216354581173
15,-4,0.01764522921853054
15,-3,0.016963045662713394
15,-2,0.01585422735745326
15,-1,0.014716990673076977
15,0,0.013475140183926936
15,1,0.012024559892859088
15,2,0.010654737202276915
15,3,0.009515223900716203
15,4,0.008290737609785425
15,5,0.006586969433104782
15,6,0.004480595470458901
15,7,0.002514272554071812
15,8,0.003877022730837764
16,-3,0.0013253916852018137
16,-2,0.011914488243916813
16,-1,0.025941738377606955
16,0,0.05283833117300553
16,1,0.0721893439670764
16,2,0.0320752273652186
16,3,0.0037154791879738663
17,-7,0.0017522952491805257
17,-6,0.018377005426499372
17,-5,0.037317164385093866
17,-4,0.04586666498972551
17,-3,0.036280183339132015
17,-2,0.020806468404687868
17,-1,0.013362523840994438
17,0,0.011456118838045013
17,1,0.007301451780102358
17,2,0.0014748630954066178
17,3,0.006005260651132427
