Aircraft_index,Length,Rotaion
0,10,3 -> 4 -> 1 -> 2 -> 5 -> 6 -> 7 -> 8 -> 9 -> 10
1,8,11 -> 12 -> 13 -> 14 -> 15 -> 16 -> 17 -> 18
